validator_index,node_operator_id,validator_pubkey
60683,0,94390a9ab5845d9ee6fdb8b8c3180dc005c97620404ad05603f497ffcf4585f52ee932d0e0549621579dfd8df6194a5e
60684,0,855384814e653bd318d3b3141ea758f9c4323ab08d5c4a57ac2b63636e44a1365ce58407a4e4dddcbea0265127f7c394
60685,0,82bc327774d0c707af3d61278d84c27ab5cb94fb12eba2148f9d6ab993599254e9fac1c82fb32f9c3a60aa33e100c4d8
60686,0,8c5357c9e1d96d3f1087c981384d251c9cacf69e8bda70ca852caaabaa46b68aac5c291c24681f004c9b0a738a5f9bfd
60687,0,95f342ff80e5657d3766334e6c0a97cd8bccda81e14320b383eadfcdf3dae423ea0ce18edd0772896771fedf9289452b
60688,0,95fcdea8a6cb2037fbc0fc804a4009c714f2ec82fc63e3df821df2f887e13254880b513110c994060386cf2a5c5df258
60689,0,8c036d98a0f06958b1f09d02930593572904ff0d5f0a5324be0d6131a04be99b4eea69e1ece4adc553f2b1e338df39bb
60690,0,aee5820b493e1e37ffb861cb7e67ddbbee69bc49c1044783dabd21e253cd44c30e13f2ceae177430096e156dc57560dc
60691,0,99beae2b8fad2a34803031148bc07224e0626a219bd8598c5782951d515e8ae1b799765ab67cf3eca7259c33e570864c
60692,0,b5e47920bee0b54810f004383fabf11b28a5adb0f22906fed4934265b83c0defeca34b70b177eae0a68029119d4539ec
60693,0,a6e2ee08eb605a9414b5a1003b1e575eb1ab926341a25cf15835049d4af1e41fe9b2c6aa132567da3c25b858df71e331
60694,0,8ca92fffe8770c45e762c853ea0d9fadee5587dd24d097a9e0b31080d4fc864b350d7e5e5398edfbbfe07aa997cbde1a
60695,0,835db6de1d0580a95c7b95191e973be6b1ed3392fe9319a5829c7a4edcfd29827b21f5b362599b2ceee0abb843b3d9ba
60696,0,960c7b20d66f42a69cfeac32b7e13f035b5df4962b7eedb31aa971cd9f2000b195619308d55ba3fe60a12a3a9699cc67
60728,0,a3032ce542ab5d78b41b3d813764df49f49202018112c46d76182b3255059cef9689f0351dc12559c1eba0a2b25c2504
62908,0,a9ea2a1357a8545f3aab581fca2c4ffb740f1696e0b3c950339200d4728a487c0f9de657f0bbbc064f260932160d575a
62909,0,8068dd0b68a175a27a05b40608844318fc93fc2a7e1ff588bb7f6987f89a29e3916d8c651aedfc9fd1997c8093f20906
62910,0,853796150ac2e275fb400c0e80eb09c4a9760adb4acb30e1a2cad3e2df99805753d985c25e6edb87cc16b1b6ada24a20
62911,0,ac891947071e00c6f56ab2f05ae668ff51166cb8c0722572f2a04135a38187b69e986727e0914eaf037b824b61ac4cc7
62912,0,8a2b07035f617133d0752e207b02cd1fc7af27637c2aaaa4cc66a7f51996cd5a0a238840e3e31efba7ffa39898990fe6
62951,0,881bd96e0810b0a3c3e76064df4b183659c30020e0714b252eb555d988fca33710fdb4b4267c0bf8b5028c490745168e
62952,0,a400aea326974c8afedb1c9219a0e2e1db1c5ad36ac8317fc2c416b1cab23650ad3635a60c6fe3646cc9b341fb4c36af
62953,0,95d64f8071a17b3d2e1332c0cdf2724fbf3d4acb8f2b5e8056461eb0b449c231817fc1408a3b194f32743fbb29f51357
62954,0,821ff34877a1771ea64679336805ecc59c447c66bd04abf5050e7a34d1f7f4b57f0636ac7da2d31286089f4ff457a965
62955,0,b812bf509419e0caa1cdc34b3af26e2cb3f40c8dc9cbf479b11a4099af9115ddae4311abd1de8e0ba8b4dbb3ee4b7843
62956,0,930e727409b98f5be3720edc03e3946541dda245a793412a3f42fa34e551774da53d74da84bf3798f798bb446759bd1a
62957,0,89aed6c355dad9082e451d7e057717e2524c9809b4e5f99cc5eb3912eee09a2ee28e95d53881336a40ff88ca802e82a5
62958,0,a10dc6bcbf2cd3f1fe6dd677f093e157a7d31af1fa4feb0a0557965a4b62e2604ce7c2888ae93a6f006e1e64707167da
62959,0,a8d16cf1358b326053450feb86925e5eaab31ee62d3764215ef4d674b18e42ba55839c828058ff8f7152fdc7f838f34d
62960,0,a998684af4f85be99539aa3efd99d08847ffffb5e32969621a97ff8cfa5cd53987a220f6061660dbf6583343b19cac91
62961,0,8d8152e346bc771317d988bcd143f7229ecb28ee1ff217874822e38d81615a77909dc97f7d88ecdcddf738508c560af5
